Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
64108-57439,QB,Patrick,Patrick Mahomes,Mahomes,33.279998779296875,1,17000,KC@BAL,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64108-63115,QB,Lamar,Lamar Jackson,Jackson,18,1,16000,KC@BAL,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
64108-53681,WR,Tyreek,Tyreek Hill,Hill,31.600000381469727,1,14000,KC@BAL,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64108-33076,TE,Travis,Travis Kelce,Kelce,22.600000381469727,1,13500,KC@BAL,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64108-60977,RB,Ty'Son,Ty'Son Williams,Williams,16.899999618530273,1,12000,KC@BAL,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
64108-86687,WR,Marquise,Marquise Brown,Brown,16.399999618530273,1,11000,KC@BAL,BAL,KC,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
64108-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,8.699999809265137,1,10500,KC@BAL,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64108-52436,TE,Mark,Mark Andrews,Andrews,3.5,1,10000,KC@BAL,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
64108-41642,K,Harrison,Harrison Butker,Butker,10,1,9500,KC@BAL,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64108-23045,K,Justin,Justin Tucker,Tucker,11,1,9000,KC@BAL,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
64108-24641,WR,Sammy,Sammy Watkins,Watkins,11.600000381469727,1,8500,KC@BAL,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
64108-71352,WR,Mecole,Mecole Hardman,Hardman,3.4000000953674316,1,8000,KC@BAL,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64108-34331,RB,Latavius,Latavius Murray,Murray,8.800000190734863,1,7500,KC@BAL,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
64108-28181,RB,Le'Veon,Le'Veon Bell,Bell,5.169230534480168,13,7000,KC@BAL,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
64108-52897,RB,Darrel,Darrel Williams,Williams,0.4000000059604645,1,7000,KC@BAL,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64108-69295,WR,Byron,Byron Pringle,Pringle,1.100000023841858,1,6500,KC@BAL,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64108-71032,WR,Devin,Devin Duvernay,Duvernay,1.100000023841858,1,6500,KC@BAL,BAL,KC,Q,Groin,,,,MVP - 1.5X Points/AnyFLEX
64108-38264,WR,Demarcus,Demarcus Robinson,Robinson,1.399999976158142,1,6000,KC@BAL,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64108-27403,TE,Blake,Blake Bell,Bell,1,1,5500,KC@BAL,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64108-54608,RB,Jerick,Jerick McKinnon,McKinnon,7.835714067731585,14,5500,KC@BAL,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
64108-63186,WR,James,James Proche,Proche,0.15833333134651184,12,5500,KC@BAL,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
64108-24920,RB,Devonta,Devonta Freeman,Freeman,6.5,5,5500,KC@BAL,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
64108-62981,TE,Eli,Eli Wolf,Wolf,0,1,5000,KC@BAL,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
